|        Time |     Flux |
| 0.000854492 | 0.976256 |
|  0.00946045 |  0.98995 |
|   0.0180664 | 0.986733 |
|   0.0266724 | 0.990272 |
|   0.0355225 | 0.986647 |
|   0.0441284 | 0.997214 |
|   0.0524902 | 0.979012 |
|   0.0614014 | 0.993623 |
|   0.0700073 | 0.984498 |
|   0.0786133 |  0.98235 |
|   0.0872192 | 0.989443 |
|   0.0958252 |  0.97284 |
|    0.104431 |   0.9938 |
|    0.113037 | 0.993506 |
|    0.121643 | 0.988798 |
|    0.130249 | 0.994641 |
|     0.13916 | 0.980712 |
|    0.147766 | 0.998686 |
|    0.156433 | 0.989205 |
|    0.165039 | 0.984186 |
|    0.173645 | 0.990259 |
|    0.182251 |  1.00069 |
|    0.190857 | 0.997703 |
|    0.199463 | 0.974382 |
|    0.208069 | 0.992182 |
|     0.21698 | 0.983852 |
|    0.225281 | 0.990234 |
|    0.234192 |  0.99094 |
|    0.251404 | 0.984366 |
|    0.268616 |   0.9897 |
|    0.277222 |  1.00351 |
|    0.285828 | 0.995009 |
|    0.294434 | 0.995338 |
|     0.30304 | 0.995046 |
|    0.311951 |  0.99712 |
|    0.320557 | 0.991369 |
|    0.329163 | 0.997983 |
|    0.337769 | 0.996471 |
|    0.380798 |  1.01024 |
|    0.389709 | 0.999233 |
|     0.39801 | 0.997765 |
|    0.406982 |  1.00652 |
|    0.415588 |  1.00943 |
|    0.424194 |  1.00501 |
|      0.4328 |  1.00013 |
|    0.441406 | 0.998662 |
|    0.450012 |  1.00006 |
|    0.467529 |  1.00139 |
|    0.484741 |  1.00667 |
|    0.510559 | 0.997424 |
|    0.519165 |  1.00752 |
|    0.527771 | 0.989566 |
|    0.536377 |  1.00015 |
|    0.553589 | 0.998007 |
|      0.5625 | 0.999026 |
|    0.571106 |  1.01216 |
|    0.579712 |   0.9957 |
|    0.588318 |   1.0028 |
|    0.596924 |  1.00467 |
|     0.60553 |  1.00592 |
|    0.614136 | 0.994777 |
|    0.622742 |  1.00582 |
|    0.631348 |  1.00385 |
|    0.666138 |  1.01767 |
|    0.674744 |  1.00934 |
|     0.68335 |  1.01101 |
|    0.691956 |  1.00906 |
|    0.700562 | 0.999596 |
|    0.709167 |  1.00983 |
|    0.718079 |  1.00645 |
|    0.726379 |  1.00354 |
|    0.735291 | 0.996551 |
|    0.743896 | 0.990322 |
|    0.752502 |  1.01154 |
|    0.769714 | 0.992497 |
|     0.77832 | 0.995421 |
|    0.786926 |  1.00208 |
|    0.795532 |   1.0029 |
|    0.804138 |   1.0034 |
|    0.813049 | 0.999536 |
|     0.82135 |  1.00839 |
|    0.830261 |  1.01078 |
|    0.838867 |  1.00727 |
|    0.847473 | 0.999538 |
|    0.881897 |  0.98864 |
|    0.890808 |  1.00252 |
|    0.899109 |  1.01184 |
|    0.908081 |  1.00629 |
|    0.916687 | 0.997807 |
|    0.925293 |  1.00276 |
|    0.933899 |  1.00509 |
|    0.942505 | 0.996517 |
|    0.951111 |  1.00726 |
|    0.959717 |  1.00294 |
|    0.968323 |  1.01726 |
|     0.98584 | 0.997096 |
|    0.994141 |  1.00315 |
|     1.00305 |  1.01573 |
|     1.01166 |  1.01109 |
|     1.02026 | 0.998203 |
|     1.02887 | 0.999691 |
|     1.03748 |  1.00741 |
|     1.04608 |  1.01912 |
|     1.05469 |  1.01599 |
|      1.0636 |   1.0013 |
|      1.0719 |  1.02048 |
|     1.08081 |  1.01916 |
|     1.09802 |  1.00344 |
|     1.10663 | 0.993833 |
|     1.11523 |  1.00017 |
|     1.12384 |  1.01335 |
|     1.15863 |  1.01424 |
|     1.16699 |  1.01553 |
|     1.17584 |  1.00761 |
|     1.18445 |  1.01476 |
|     1.19305 |  1.01916 |
|     1.20166 |  1.01934 |
|     1.21027 |   1.0071 |
|     1.21887 |   1.0088 |
|     1.22748 |  1.00912 |
|     1.24475 |  1.00414 |
|      1.2536 |  1.02716 |
|     1.26221 |  1.01329 |
|     1.28802 |  1.00909 |
|     1.29663 |  1.00941 |
|     1.30524 |   1.0123 |
|     1.31384 |  1.01388 |
|     1.32251 |  1.00702 |
|     1.33136 |  1.01736 |
|     1.33997 |  1.00212 |
|     1.34857 |   1.0114 |
|     1.35718 |  1.01042 |
|     1.36578 |  1.00562 |
|       1.383 |  1.02101 |
|      1.3916 |  1.02171 |
|     1.40027 |  1.00175 |
|     1.40918 |  1.00798 |
|     1.41754 |  1.01977 |
|     1.42639 |  1.00376 |
|       1.435 |  1.01341 |
|      1.4436 |  1.01992 |
|     1.45221 |   1.0265 |
|     1.46082 |  1.01741 |
|     1.46948 |  1.00073 |
|     1.50415 |  1.01028 |
|     1.51251 |  1.00874 |
|     1.52136 |  1.03276 |
|     1.52997 |  1.01783 |
|     1.53857 |  1.02183 |
|     1.54718 |  1.00391 |
|     1.55585 |  1.00977 |
|     1.56445 |  1.02133 |
|     1.57306 |  1.00723 |
|     1.58191 |  1.00819 |
|     1.61633 |  1.00994 |
|     1.62494 |  1.02376 |
|     1.63361 |  1.02388 |
|     1.64221 |  1.01291 |
|     1.65082 |  1.00843 |
|     1.65948 |  1.01541 |
|     1.66809 |  1.01645 |
|     1.69415 |  1.01634 |
|     1.70282 |  1.01246 |
|     1.72003 |  1.00705 |
|     1.72864 |  1.02103 |
|     1.73724 |  1.01352 |
|      1.7547 |  1.02891 |
|     1.76306 |  1.02229 |
|     1.77191 |  1.01737 |
|     1.78052 |  1.02129 |
|     1.78918 |  1.01398 |
|     1.79779 |  1.01618 |
|      1.8064 |  1.00825 |
|       1.815 |  1.01481 |
|     1.82361 |     1.01 |
|     1.83221 |  1.02194 |
|     1.84082 |  1.01015 |
|     1.84967 |  1.01652 |
|     1.85803 |  1.01496 |
|     1.86694 |  1.00936 |
|     1.87555 |  1.02179 |
|     1.88416 |  1.02049 |
|     1.89276 |  1.03202 |
|     1.90137 |  1.01652 |
|     1.91003 |  1.01749 |
|     1.91864 |  1.02491 |
|     1.92749 |  1.01331 |
|     1.93585 |  1.01508 |
|     1.94476 |  1.02418 |
|     1.95337 |  1.01791 |
|     1.96198 |  1.02325 |
|     1.97058 |  1.01041 |
|     1.97919 |  1.02135 |
|     1.98779 |  1.00822 |
|      1.9964 |  1.02705 |
|     2.00525 |   1.0188 |
|     2.01361 |  1.01804 |
|     2.02252 |  1.01922 |
|     2.03082 |  1.00415 |
|     2.03973 |  1.03093 |
|     2.04834 |  1.01545 |
|     2.05695 |  1.01479 |
|     2.06555 |   1.0163 |
|     2.07416 |  1.00672 |
|     2.08276 |  1.01428 |
|     2.09137 |  1.03018 |
|      2.1261 |  1.01987 |
|      2.1347 |  1.00701 |
|     2.14331 |   1.0151 |
|     2.15192 |   1.0238 |
|     2.16058 |  1.01886 |
|     2.16919 |  1.00985 |
|      2.1778 |  1.01405 |
|      2.1864 |  1.01838 |
|     2.19531 |  1.02341 |
|     2.20361 |  1.01131 |
|     2.21252 |  1.02115 |
|     2.22113 |  1.02578 |
|     2.22974 |  1.01617 |
|     2.23834 |   1.0197 |
|     2.24695 |  1.02055 |
|     2.25555 |  1.01904 |
|     2.26416 |  1.00981 |
|     2.27307 |  1.02523 |
|     2.28137 |  1.02341 |
|     2.29028 |   1.0198 |
|     2.29889 |  1.01612 |
|     2.32471 |  1.01229 |
|     2.33331 |  1.01467 |
|     2.34192 |  1.02449 |
|     2.35052 |  1.02239 |
|     2.35913 |   1.0128 |
|     2.36804 |  1.01965 |
|     2.39386 | 0.999764 |
|     2.41974 |  1.01559 |
|     2.42834 |  1.00854 |
|     2.47168 |  1.02522 |
|     2.48029 |  1.01868 |
|     2.48889 |  1.01871 |
|      2.4975 |  1.00937 |
|      2.5061 |  1.01433 |
|     2.53192 |  1.01796 |
|     2.54083 |  1.01284 |
|     2.54913 |  1.00845 |
|     2.55804 |   1.0294 |
|     2.56665 |  1.00866 |
|     2.57526 |  1.01157 |
|     2.58386 |  1.01171 |
|     2.59247 |  1.02287 |
|     2.60107 |  1.01514 |
|     2.60968 |   1.0074 |
|     2.61859 |   1.0062 |
|      2.6272 |  1.01522 |
|     2.67029 |  1.01429 |
|     2.69611 |  1.00055 |
|     2.70471 |  1.01164 |
|     2.71362 |  1.00751 |
|     2.72192 | 0.998453 |
|     2.73083 |  1.01392 |
|     2.73944 |  1.01204 |
|     2.74805 |  1.00705 |
|     2.75665 |  1.01699 |
|     2.76526 |  1.00384 |
|     2.77386 |  1.01149 |
|     2.78247 |  1.01093 |
|     2.79138 |  1.01284 |
|     2.79968 |  1.00409 |
|     2.80859 |  1.01543 |
|      2.8172 |  1.01458 |
|     2.82581 |      1.0 |
|     2.83441 |  1.01202 |
|     2.84302 |   1.0194 |
|     2.85162 |  1.01656 |
|     2.86023 |  1.00017 |
|     2.86884 | 0.995659 |
|     2.87744 |  1.01364 |
|     2.88635 |  1.00298 |
|     2.89496 |  1.01343 |
|     2.90363 |  1.03087 |
|     2.91223 |  1.01627 |
|     2.92084 |   1.0149 |
|     2.92944 |  1.01942 |
|     2.93805 |  1.00678 |
|     2.94666 |  1.00789 |
|     2.95526 |  1.03094 |
